Class_ID,Class_Name
11,Open Water
21,Developed Open Space
22,"Developed, Low Intensity"
23,"Developed, Med. Intensity"
24,"Developed, High. Intensity"
31,Barren Land
41,Deciduous Forest
42,Evergreen Forest
43,Mixed Forest
52,Shrub/Scrub
71,Grassland/Herbaceous
81,Pasture/Hay
82,Cultivated Crops
90,Woody Wetlands
95,Emergent Herbaceous Wetland
